Date,Time,Location,Subregion,Operator,FlightType,Cause,Aboard,Fatalities,FatalityRate
06/15/1972,14:00,"Near Pleiku, Vietnam",South-eastern Asia,Cathay PacifiAirways,commercial,sabotage,81.0,81.0,1.0
06/18/1972,01:50,"Smiley, Texas",Northern America,Air Central,commercial,unknown,5.0,5.0,1.0
06/18/1972,23:55,"Huê, Vietnam",South-eastern Asia,Military - U.S. Air Force,military,cfit,15.0,12.0,0.8
06/18/1972,,"Near Kharkov, Ukraine, USSR",Eastern Europe,Aeroflot,commercial,mechanical,122.0,122.0,1.0
06/18/1972,16:11,"London Heathrow,  Staines, Surrey, England",Northern Europe,British European Airways,commercial,"mechanical, pilot_error",118.0,118.0,1.0
06/24/1972,23:17,"Ponce, Puerto Rico",Caribbean,Prinair,commercial,pilot_error,20.0,5.0,0.25
06/25/1972,13:17,"Hornell, New York",Northern America,Seventy Airways - Air Taxi,civilian,unknown,3.0,3.0,1.0
06/29/1972,09:37,"Appleton, Wisconsin",Northern America,North Central Airlines / Air Wisconsin,commercial,"mechanical, weather, collision, cfit",13.0,13.0,1.0
06/29/1972,,"Blackpool, England",Northern Europe,Inter City Flug,commercial,"fire, mechanical, pilot_error",8.0,7.0,0.875
06/30/1972,07:43,"Steamboat, Nevada",Northern America,Casino Air - Air Taxi,civilian,"cfit, pilot_error",5.0,2.0,0.4
07/05/1972,,"San Francisco, California",Northern America,PacifiSouthwest Airlines,commercial,sabotage,86.0,3.0,0.03488372093023256
07/06/1972,,"Off Las Palmas, Canary Islands, Spain",Southern Europe,Aviaco,commercial,cfit,10.0,10.0,1.0
07/11/1972,,"Near Quang Tri, South Vietnam",South-eastern Asia,Military - U.S. Marine Corps,military,"shot_down, fire",67.0,52.0,0.7761194029850746
07/11/1972,16:00,"Near Grytoya, Norway",Northern Europe,Military - Royal Norwegian Air Force,military,"weather, pilot_error",19.0,19.0,1.0
07/20/1972,,"Corfu Island, Greece",Southern Europe,Charter,commercial,"fire, pilot_error",84.0,1.0,0.011904761904761904
07/29/1972,,"Villavicencio, Colombia",South America,AVIANCA / AVIANCA,commercial,collision,38.0,38.0,1.0
08/12/1972,04:00,"Near SoTrang, South Vietnam",South-eastern Asia,Military - U.S. Air Force,military,fire,44.0,30.0,0.6818181818181818
08/12/1972,,"Near Delhi, India",Southern Asia,Indian Airlines,commercial,unknown,18.0,18.0,1.0
08/14/1972,17:00,"Near Konigs Wusterausen, East Germany",Eastern Europe,Interflug,commercial,fire,156.0,156.0,1.0
08/16/1972,,"Near Sandoway, Myanmar",South-eastern Asia,Burma Airways,commercial,"cfit, pilot_error",31.0,26.0,0.8387096774193549
08/27/1972,,"Canaima, Venezuela",South America,Lineas Areas Venezolanas,commercial,mechanical,34.0,34.0,1.0
08/28/1972,14:30,"Papua, New Guinea",Melanesia,Military - Royal Australian Air Force,military,"weather, cfit, pilot_error",29.0,25.0,0.8620689655172413
08/31/1972,,"Near Magnitogorsk, Russia",Eastern Europe,Aeroflot,commercial,fire,101.0,101.0,1.0
09/01/1972,,"Mt Siluwe, Papua, New Guinea",Melanesia,Ansett Airlines of Papua New Guinea,commercial,"weather, cfit",4.0,4.0,1.0
09/07/1972,17:57,"Trinidad, Bolivia",South America,Servicios Aereas Virgen de Copacabana,commercial,"mechanical, cfit",8.0,1.0,0.125
09/10/1972,10:20,"Gondar, Ethiopia",Eastern Africa,Ethiopian Airlines,commercial,mechanical,11.0,11.0,1.0
09/13/1972,12:00,"Near Dhulikhel, Nepal",Southern Asia,Military - Royal Nepalese Air Force,military,unknown,31.0,31.0,1.0
09/24/1972,,"Sacramento, California",Northern America,Private,civilian,"weather, pilot_error",1.0,0.0,22.0
09/24/1972,,"Near Ben Cat, South Vietnam",South-eastern Asia,Air Vietnam (South Vietnam),commercial,unknown,13.0,10.0,0.7692307692307693
09/30/1972,,"Madrid, Spain",Southern Europe,Spantax,commercial,pilot_error,6.0,1.0,0.16666666666666666
10/02/1972,,"Kampot, Cambodia",South-eastern Asia,Cambodia Air,commercial,shot_down,9.0,9.0,1.0
10/02/1972,18:00,"Near Adler, Russia",Eastern Europe,Aeroflot,commercial,"mechanical, weather, cfit, pilot_error",109.0,109.0,1.0
10/12/1972,18:12,North AtlantiOcean,unknown,Flamingo Airlines - Air Taxi,civilian,"weather, cfit",2.0,2.0,1.0
10/13/1972,21:50,"Near Krasnaya Polyana, USSR",Eastern Europe,Aeroflot,commercial,weather,174.0,174.0,1.0
10/13/1972,15:30,"Near San Fernando, Chile",South America,Uruguayan Air Force - TAMU,military,"mechanical, weather, cfit",45.0,29.0,0.6444444444444445
10/16/1972,09:00,Off the Alaska coast,unknown,Private,civilian,"weather, cfit",4.0,4.0,1.0
10/21/1972,c:09:00,"Off Athens, Greece",Southern Europe,OlympiAirways,commercial,"weather, cfit",53.0,37.0,0.6981132075471698
10/23/1972,,"Tanna, Vanuatu",Melanesia,Air Melanesie,commercial,unknown,8.0,1.0,0.125
10/27/1972,19:20,"Near Noiretable, Loire, France",Western Europe,Air Inter,commercial,weather,68.0,60.0,0.8823529411764706
10/30/1972,,"Poggiorsini, Italy",Southern Europe,Aero Transporti Italiani,commercial,fire,27.0,27.0,1.0
10/31/1972,18:00,"Near My Tho, South Vietnam",South-eastern Asia,Military - U.S. Army,military,"shot_down, fire",22.0,22.0,1.0
11/04/1972,,"Near Plovdiv, Bulgaria",Eastern Europe,Balkan Bulgarian Airlines,commercial,"weather, cfit",35.0,35.0,1.0
11/17/1972,23:20,"Elkton, Kentucky",Northern America,Metro Air Systems,commercial,pilot_error,11.0,11.0,1.0
11/28/1972,19:51,"Near Moscow, Russia",Eastern Europe,Japan Air Lines,commercial,mechanical,76.0,62.0,0.8157894736842105
11/29/1972,20:27,"St. Paul, Minnesota",Northern America,Luthi Aviation - Air Taxi,civilian,"fuel, mechanical, cfit",2.0,2.0,1.0
12/03/1972,06:45,"Tenerife,  Canary Islands",Southern Europe,Spantax,commercial,weather,155.0,155.0,1.0
12/05/1972,15:05,"Beni Sueif, Egypt",Northern Africa,EgyptAir,commercial,mechanical,6.0,6.0,1.0
12/05/1972,,"Myrtle Beach, South Carolina",Northern America,Military - U.S. Air Force,military,collision,12.0,12.0,1.0
12/06/1972,,"Near  LaRandall, Quebe,Canada",Northern America,Superior Airways,commercial,"mechanical, weather, pilot_error",3.0,3.0,1.0
12/08/1972,,"Near Rawalpindi, Pakistan",Southern Asia,Pakistan International Airlines,commercial,weather,26.0,26.0,1.0
02/12/1973,19:15,"Walla Walla, Washington",Northern America,Red Carpet Flying Service - Air Taxi,civilian,weather,4.0,4.0,1.0
12/08/1972,14:28,"Chicago, Midway Airport, Illinois",Northern America,United Air Lines,commercial,"fire, mechanical, pilot_error",61.0,43.0,0.7377049180327869
12/15/1972,11:46,"Detroit, Michigan",Northern America,Zantop Airways,commercial,"mechanical, pilot_error",2.0,2.0,1.5
12/20/1972,18:00,"Chicago, Illinois",Northern America,Delta Air Lines/ North Central Airlines,commercial,"fire, weather",133.0,10.0,0.07518796992481203
12/21/1972,,"Near Pakse, Laos",South-eastern Asia,Military - U.S. Air Force,military,"shot_down, fire, mechanical",16.0,14.0,0.875
12/21/1972,,"Off St. Maarten off, Netherlands Antilles",Caribbean,Air Guadeloupe,commercial,cfit,13.0,13.0,1.0
12/23/1972,,"Skaugum, Norway",Northern Europe,Braathens,commercial,pilot_error,45.0,40.0,0.8888888888888888
12/29/1972,23:42,"Everglades National Park, Florida",Northern America,Eastern Air Lines,commercial,"mechanical, weather",176.0,103.0,0.5852272727272727
12/31/1972,19:23,"San Juan, Puerto Rico",Caribbean,American Express Leasing,commercial,"mechanical, pilot_error",5.0,5.0,1.0
01/02/1973,08:34,"Edmonton, Alberta, Canada",Northern America,PacifiWestern Airlines,commercial,"fire, weather, cfit",5.0,5.0,1.0
01/19/1973,14:31,"Near Glasgow, England",Northern Europe,British European Airways,commercial,"weather, cfit, pilot_error",4.0,4.0,1.0
01/22/1973,01:00,"Perm, Russia",Eastern Europe,Aeroflot,commercial,weather,44.0,44.0,1.0
01/22/1973,09:30,"Kano, Nigeria",Western Africa,Alia Royal Jordanian Airlines,commercial,"fire, mechanical",202.0,176.0,0.8712871287128713
01/27/1973,13:00,"Townsend, Tennessee",Northern America,Air Transit - Air Taxi,civilian,"weather, collision, cfit",4.0,3.0,0.75
01/27/1973,,"Near Tegucigalpa, Honduras",Central America,TAN,commercial,unknown,3.0,3.0,1.0
01/29/1973,,"Near Kyrenia, Cyprus",Western Asia,Air Sinai,commercial,cfit,37.0,37.0,1.0
01/31/1973,12:20,"Kasigluk, Alaska",Northern America,Harry Faulkner - Air Taxi,civilian,weather,2.0,2.0,1.0
02/19/1973,10:06,"Prague, Czechoslovakia",Eastern Europe,Aeroflot,commercial,"weather, cfit",100.0,66.0,0.66
02/19/1973,09:15,"Morgan City, Louisiana",Northern America,Petrolium Helo Inc.,commercial,mechanical,5.0,5.0,1.0
02/21/1973,,"Cerro Horqueta, Panama",Central America,Aerovias Urraca,commercial,cfit,28.0,22.0,0.7857142857142857
02/21/1973,14:10,"Near Isma'iliya, Egypt",Northern Africa,Libya Arab Airlines,commercial,"shot_down, fire",113.0,110.0,0.9734513274336283
02/22/1973,19:00,"Londonderry, Vermont",Northern America,Air Taxi,civilian,"weather, cfit, pilot_error",2.0,2.0,1.0
02/24/1973,,"Near Leningrad, Russia",Eastern Europe,Aeroflot,commercial,pilot_error,79.0,79.0,1.0
02/28/1973,,"Semipalatinsk, Kazakhstan",Central Asia,Aeroflot,commercial,unknown,32.0,32.0,1.0
02/28/1973,,"Szczecin, Poland",Eastern Europe,Military - Polish Air Force,military,unknown,15.0,15.0,1.0
02/28/1973,23:52,"Near Szczecin, Poland",Eastern Europe,Military - Polish Air Force,military,"mechanical, weather",18.0,18.0,1.0
02/28/1973,,"Near Nabire, Indonesia",South-eastern Asia,Merpati Nusantara Airlines,commercial,unknown,13.0,13.0,1.0
03/03/1973,12:45,"Moscow, Russia",Eastern Europe,Balkan Bulgarian Airlines,commercial,"fire, mechanical",25.0,25.0,1.0
03/05/1973,,"Off Funchal, Portugal",Southern Europe,Aviaco,commercial,cfit,3.0,3.0,1.0
03/05/1973,13:50,"Near Nantes, France",Western Europe,Lineas Aereas de Espana/Spantax SA Transportes,commercial,"collision, pilot_error",182.0,68.0,0.37362637362637363
03/07/1973,,"Near Ban Hong Sa, Laos",South-eastern Asia,Air America,commercial,unknown,4.0,4.0,1.0
03/15/1973,,"Hyderabad, India",Southern Asia,Indian Airlines,commercial,"fire, mechanical, cfit, pilot_error",3.0,3.0,1.0
03/15/1973,14:00,"Off Brunswick, Maine",Northern America,Military - U.S. Navy,military,cfit,5.0,5.0,1.0
03/19/1973,,"Ben Me Thuot, South Vietnam",South-eastern Asia,Air Vietnam (South Vietnam),commercial,fire,62.0,62.0,1.0
04/10/1973,10:13,"Near Hochwald, Solothurn,  Switzerland",Western Europe,Invicta International Airlines (UK),commercial,"mechanical, weather, pilot_error",145.0,108.0,0.7448275862068966
04/12/1973,15:00,"Sunnyvale, California",Northern America,Military - U.S. Navy / NASA,military,collision,17.0,16.0,0.9411764705882353
04/12/1973,14:50,"Moffett AFB, California",Northern America,Military - U.S. Navy,military,"mechanical, collision, pilot_error",16.0,15.0,0.9375
04/18/1973,,"Bamiyan, Afghanistan",Southern Asia,Bakhtar Afghan Airlines,commercial,unknown,19.0,4.0,0.21052631578947367
04/19/1973,17:04,"Davenport, Iowa",Northern America,Air Iowa,commercial,"mechanical, pilot_error",6.0,6.0,1.0
05/11/1973,18:00,"Greenville, Maine",Northern America,Air Taxi,civilian,"weather, cfit, pilot_error",4.0,4.0,1.0
05/16/1973,10:45,"Deadhorse, Alaska",Northern America,Winship Air Service - Air Taxi,civilian,pilot_error,5.0,2.0,0.4
05/18/1973,,"Chita, Siberia, Russia",Eastern Europe,Aeroflot,commercial,sabotage,100.0,100.0,1.0
05/19/1973,,"Svay Rieng, Cambodia",South-eastern Asia,Cambodia Air,commercial,fire,11.0,11.0,1.0
05/29/1973,,"Near Rimouski, Canada",Northern America,Air Gaspé,commercial,fire,4.0,4.0,1.0
05/31/1973,21:50,"Near New Delhi, India",Southern Asia,Indian Airlines,commercial,"fire, weather, pilot_error",65.0,48.0,0.7384615384615385
06/01/1973,,"Sao Luis, Brazil",South America,Cruzeiro,commercial,"mechanical, pilot_error",23.0,23.0,1.0
06/03/1973,,"Goussainville, France",Western Europe,Aeroflot,commercial,"fire, pilot_error",6.0,6.0,2.3333333333333335
06/09/1973,,"Rio de Janeiro, Brazil",South America,Varig,commercial,cfit,4.0,2.0,0.5
06/20/1973,,"Near Puerto Vallarta, Mexico",Central America,Aeromexico,commercial,unknown,27.0,27.0,1.0
06/30/1973,,"Amman, Jordan",Western Asia,Aeroflot,commercial,fire,84.0,5.0,0.09523809523809523
07/11/1973,14:03,"Paris, Orly, France",Western Europe,Varig,commercial,fire,134.0,123.0,0.917910447761194
07/22/1973,22:07,"Off Papeete, Tahiti",Polynesia,Pan American World Airways,commercial,"mechanical, cfit",79.0,78.0,0.9873417721518988
07/23/1973,16:43,"St. Louis, Missouri",Northern America,Ozark Air Lines,commercial,"weather, cfit",44.0,38.0,0.8636363636363636
07/24/1973,07:08,"Honolulu, HI",Northern America,Air Hawaii,commercial,"fuel, mechanical, cfit, pilot_error",5.0,5.0,1.0
07/31/1973,10:08,"Logan Airport, Boston, Massachusett",Northern America,Delta Air Lines,commercial,"mechanical, weather",89.0,89.0,1.0
08/04/1973,20:00,"Ketchikan, Alaska",Northern America,Revilla Flying Service - Air Taxi,civilian,undetermined,5.0,5.0,1.0
10/13/1973,20:15,"Near  Domodedovo, Russia",Eastern Europe,Aeroflot,commercial,mechanical,119.0,119.0,1.0
08/13/1973,11:40,"Near La  Corunda, Spain",Southern Europe,Aviaco,commercial,"mechanical, weather, cfit",85.0,85.0,1.0588235294117647
08/15/1973,14:50,"Don Don, Haiti",Caribbean,Private,civilian,mechanical,10.0,10.0,1.0
08/18/1973,,"Baku, Azerbaijan, USSR",Eastern Europe,Aeroflot,commercial,unknown,64.0,56.0,0.875
08/22/1973,,"El Yopal, Colombia",South America,AVIANCA,commercial,"weather, cfit",17.0,16.0,0.9411764705882353
08/27/1973,12:45,"Bogota, Colombia",South America,Aerovias Brasil,commercial,"weather, cfit",42.0,42.0,1.0
08/28/1973,21:45,"Near Huete, Spain",Southern Europe,Military - U.S. Air Force,military,cfit,25.0,24.0,0.96
08/28/1973,20:50,"Thirty-five miles west of Los Angeles, California",Northern America,Trans World Airlines,commercial,"weather, cfit",149.0,1.0,0.006711409395973154
09/04/1973,22:30,"Gary, Indiana",Northern America,Aegler Stuart Flying Service  / Private,civilian,"mechanical, pilot_error",5.0,4.0,0.8
09/08/1973,04:42,"King Cove, Alaska",Northern America,World Airways,commercial,"weather, cfit, pilot_error",6.0,6.0,1.0
09/09/1973,15:18,"Paintsville, Kentucky",Northern America,Wicks Flying Service - Air Taxi,civilian,"weather, collision, cfit",4.0,4.0,1.0
09/11/1973,,"Moganik, Yugoslavia",Southern Europe,JAT Yugoslav Airlines,commercial,cfit,41.0,41.0,1.0
09/20/1973,22:45,"Natchitoches, Louisiana",Northern America,Private Charter,civilian,"mechanical, pilot_error",6.0,6.0,1.0
09/24/1973,02:00,"Eagleville, California",Northern America,Dunlap Aviation - Air Taxi,civilian,"mechanical, weather, cfit, pilot_error",2.0,2.0,1.0
09/25/1973,06:18,"Lincoln, Nebraska",Northern America,Lisa Jet Inc. - Air Taxi,civilian,pilot_error,3.0,3.0,1.0
09/27/1973,19:52,"Rich Mountain, Arkansas",Northern America,Texas International Airlines,commercial,"weather, cfit",11.0,11.0,1.0
09/30/1973,,"Miritituba, Brazil",South America,Aeronorte,commercial,"fire, mechanical, pilot_error",9.0,9.0,1.0
09/30/1973,20:40,"Near Sverdlovsk, Russia",Eastern Europe,Aeroflot,commercial,mechanical,108.0,108.0,1.0
10/02/1973,,"Magadan, Russia",Eastern Europe,Aeroflot,commercial,cfit,10.0,10.0,1.0
10/04/1973,,"Itaituba, PA, Brazil",South America,Taxi Aéreo Cesar Aguiar,commercial,unknown,8.0,8.0,1.0
10/23/1973,,"Guanabara Bay, Brazil",South America,VASP,commercial,mechanical,65.0,8.0,0.12307692307692308
10/29/1973,,Sainte Lucia Island,Caribbean,CATA,commercial,cfit,4.0,4.0,1.0
10/31/1973,06:05,"La Verne, California",Northern America,Jack N. Boswick - Air Taxi,civilian,"mechanical, pilot_error",7.0,2.0,0.2857142857142857
11/02/1973,,"Villavicencio, Colombia",South America,Lineas Aéreas La Urraca,commercial,unknown,16.0,6.0,0.375
11/03/1973,16:40,"Near Albuquerque,  New Mexico",Northern America,National Airlines,commercial,"sabotage, mechanical, cfit",128.0,1.0,0.0078125
11/03/1973,09:39,"Boston, Massachusett",Northern America,Pan American World Airways,commercial,fire,3.0,3.0,1.0
11/17/1973,,"Near Quang-Ngai, Vietnam",South-eastern Asia,Air Vietnam (South Vietnam),commercial,"weather, cfit",27.0,27.0,1.0
12/07/1973,,"Moscow, Russia",Eastern Europe,Aeroflot,commercial,mechanical,72.0,13.0,0.18055555555555555
12/09/1973,22:55,"Churchill Falls, Newfoundland, Canada",Northern America,Churchill Falls Co.,commercial,pilot_error,8.0,8.0,1.0
12/11/1973,,"Sitkin Island, Alaska",Northern America,Military - U.S. Navy,military,cfit,10.0,10.0,1.0
12/16/1973,,"Near Vilnius, Lithuania",Northern Europe,Aeroflot,commercial,unknown,51.0,51.0,1.0
12/17/1973,13:00,"Rome, Italy",Southern Europe,Pan American World Airways,commercial,unknown,177.0,30.0,0.1694915254237288
12/18/1973,19:14,"Manhattan, Kansas",Northern America,Capitol Air Service - Air Taxi,civilian,cfit,2.0,2.0,1.0
12/21/1973,,"Talara, Peru",South America,TAM (Bolivia),commercial,unknown,9.0,6.0,0.6666666666666666
12/21/1973,,"Near Siagon, South Vietnam",South-eastern Asia,Military - Vietnamese Air Force,military,fire,20.0,20.0,1.0
12/22/1973,22:10,"Near Tetouan, Morocco",Northern Africa,Sobelair SA (Belgium),commercial,"weather, cfit, pilot_error",106.0,106.0,1.0
12/23/1973,,"Lvov, Ukraine, USSR",Eastern Europe,Aeroflot,commercial,"fire, mechanical",17.0,17.0,1.0
12/28/1973,,"Durban, South Africa",Southern Africa,Executive Funds,commercial,mechanical,25.0,1.0,0.04
01/01/1974,12:38,"Near Turin, Italy",Southern Europe,Itavia,commercial,weather,42.0,38.0,0.9047619047619048
01/06/1974,,"Unduavi, Bolivia",South America,Servicios Aéreos Boliviano,commercial,cfit,4.0,4.0,1.0
01/06/1974,18:05,"Johnstown, Pennsylvania",Northern America,Air East,commercial,"mechanical, pilot_error",17.0,12.0,0.7058823529411765
01/06/1974,,"Mukachevo, Russia",Eastern Europe,Aeroflot,commercial,unknown,24.0,24.0,1.0
01/09/1974,16:36,"Near Nevia, Colombia",South America,Military - Colombian Air Force,military,"fire, cfit",31.0,31.0,1.0
01/10/1974,,"La Paz, Bolivia",South America,TAM (Bolivia),commercial,unknown,24.0,24.0,1.0
01/17/1974,18:15,"Cigerdu, Colombia",South America,Cessnyca,commercial,unknown,14.0,14.0,1.0
01/25/1974,,"Rostov, Russia",Eastern Europe,Aeroflot,commercial,mechanical,4.0,4.0,1.0
01/25/1974,06:58,"Goldendale, Washington",Northern America,Inland Aviation - Air Taxi,civilian,"weather, collision, cfit",2.0,2.0,1.0
01/26/1974,07:30,"Izmir, Turkey",Western Asia,Turkish Airlines (THY),commercial,"mechanical, pilot_error",73.0,66.0,0.9041095890410958
01/27/1974,13:15,"S. Dominican Pueblo, New Mexico",Northern America,Taos Airways - Air Taxi,civilian,"mechanical, weather",3.0,3.0,1.0
01/28/1974,07:50,"Winger, Minnesota",Northern America,Theif River Aviation - Air Taxi,civilian,"mechanical, weather",4.0,4.0,1.0
01/30/1974,23:41,"Pago Pago, American Samoa",Polynesia,Pan American World Airways,commercial,"fire, mechanical, weather, cfit, pilot_error",101.0,96.0,0.9504950495049505
02/02/1974,21:30,"Near Honolulu, HI",Northern America,Pan American World Airways,commercial,unknown,298.0,1.0,0.003355704697986577
02/09/1974,17:30,"Near Souda, Crete",unknown,Military - West German Air Force,military,"mechanical, cfit",40.0,35.0,0.875
02/10/1974,19:31,AtlantiOcean,unknown,North Cay Air - Air Taxi,civilian,cfit,2.0,2.0,1.0
02/22/1974,,"Baltimore, Maryland",Northern America,Delta Air Lines,commercial,unknown,15.0,1.0,0.06666666666666667
02/23/1974,,"San Francisco de Moxos,  Bolivia",South America,SAVCO,commercial,"mechanical, weather",7.0,7.0,1.0
02/28/1974,,"Near Mehrabad, Iran",Western Asia,Military - Imperial Iranian Air Force,military,unknown,10.0,10.0,1.0
03/03/1974,11:41,"Near Ermenonville, France",Western Europe,Turkish Airlines (THY),commercial,"sabotage, mechanical, pilot_error",346.0,346.0,1.0
03/08/1974,,"Hanoi, Vietnam",South-eastern Asia,Pathet Lao Airlines,commercial,unknown,18.0,18.0,1.0
03/11/1974,21:42,"Carson City, Nevada",Northern America,Executive Air - Air Taxi,civilian,"mechanical, cfit, pilot_error",4.0,4.0,1.0
03/13/1974,19:28,"Bishop, California",Northern America,Sierra PacifiAirlines,commercial,"weather, cfit, pilot_error",36.0,36.0,1.0
03/15/1974,08:07,"Tehran, Iran",Western Asia,Sterling Airways,commercial,"fire, mechanical",96.0,15.0,0.15625
04/04/1974,02:35,"Francistown, Botswana",Southern Africa,Wenela Air Services,commercial,"fire, mechanical, cfit",84.0,78.0,0.9285714285714286
04/11/1974,09:41,"Hilo Island, Hawaii",Northern America,Island Air,commercial,"weather, cfit",11.0,11.0,1.0
04/22/1974,15:26,"Grogak, Bali, Indonesia",South-eastern Asia,Pan American World Airways,commercial,"cfit, pilot_error",107.0,107.0,1.0
04/24/1974,,"Tashkent, Uzbekistan",Central Asia,Aeroflot,commercial,unknown,115.0,1.0,0.008695652173913044
04/27/1974,,"Near Leningrad, Russia",Eastern Europe,Aeroflot,commercial,"fire, mechanical",118.0,118.0,1.0
04/30/1974,13:47,"Galveston, Texas",Northern America,Houston Metro Airlines,commercial,pilot_error,12.0,6.0,0.5
05/02/1974,19:30,"Banos, Ecuador",South America,Aero Taxis Equatorianos,commercial,"mechanical, cfit",24.0,22.0,0.9166666666666666
05/06/1974,22:22,"Nurnberg, Germany",Western Europe,Fragtflug,commercial,"mechanical, cfit, pilot_error",3.0,3.0,1.0
05/23/1974,16:55,"Springfield, Illinois",Northern America,Saturn Airways,commercial,"mechanical, weather",3.0,3.0,1.0
05/23/1974,,"Kiev, Ukraine, USSR",Eastern Europe,Aeroflot,commercial,unknown,29.0,29.0,1.0
05/31/1974,,"Rankin Inlet, Canada",Northern America,Lambair,commercial,mechanical,2.0,2.0,1.0
06/08/1974,17:30,"Monte San Isidro,  Colombia",South America,Aerolineas TAO,commercial,"mechanical, pilot_error",44.0,44.0,1.0
06/27/1974,,"Battambang, Khmer Republic",South-eastern Asia,Cambodia Air,commercial,"fire, mechanical, pilot_error",39.0,19.0,0.48717948717948717
06/30/1974,13:00,"Umiat, Alaska",Northern America,Alaska Helicopter - Air Taxi,civilian,"mechanical, pilot_error",5.0,5.0,1.0
07/24/1974,09:45,"Bogota, Colombia",South America,Aeronorte Colombia,commercial,cfit,3.0,3.0,1.0
07/27/1974,,"Near MoHoa, Vietnam",South-eastern Asia,Air Amercia,commercial,cfit,5.0,5.0,1.0
08/05/1974,,"Mt. Apica, Canada",Northern America,Laurentian Air Services,commercial,cfit,11.0,5.0,0.45454545454545453
08/09/1974,,"Diemas, Syria",Western Asia,Military - Canadian Air Force,military,unknown,9.0,9.0,1.0
08/11/1974,,"Near Ouagadougou, Upper Volta",Western Africa,Air  Mali,commercial,"fuel, weather, pilot_error",60.0,47.0,0.7833333333333333
08/12/1974,14:50,"Cali, Colombia",South America,AVIANCA,commercial,"weather, cfit",27.0,27.0,1.0
08/13/1974,18:35,"Anaktuvuk, Alaska",Northern America,MerriAviation - Air Taxi,civilian,cfit,4.0,4.0,1.0
08/14/1974,,"Margarita Island, Venezuela",South America,Linea Aeropostal Venezolana,commercial,cfit,49.0,48.0,0.9795918367346939
08/18/1974,,"Near La Paz, Bolivia",South America,Military - U.S. Air Force,military,"cfit, pilot_error",7.0,7.0,1.0
08/18/1974,,"Near Kisangani, Zaire",Middle Africa,Military - Zairean Air Force,military,unknown,31.0,31.0,1.0
09/07/1974,,"Tandjung-karang, Indonesia",South-eastern Asia,Garuda Indonesia Airlines,commercial,weather,39.0,35.0,0.8974358974358975
09/08/1974,09:40,"Ionian Sea , off Kefallinia, Greece",Southern Europe,Trans World Airlines,commercial,"sabotage, mechanical, cfit",88.0,88.0,1.0
09/11/1974,07:34,"Near Charlotte, North Carolina",Northern America,Eastern Air Lines,commercial,"weather, cfit, pilot_error",82.0,70.0,0.8536585365853658
09/15/1974,11:00,"Phan Rang, Vietnam",South-eastern Asia,Air Vietnam (South Vietnam),commercial,sabotage,75.0,75.0,1.0
09/19/1974,03:50,"Riverside, California",Northern America,Riverside Air,commercial,"fire, pilot_error",5.0,5.0,1.0
09/22/1974,09:55,"Fairbanks, Alaska",Northern America,Frontier Flying Service - Air Taxi,civilian,"mechanical, pilot_error",2.0,2.0,1.0
10/01/1974,21:40,"Lupine, Alaska",Northern America,Winship Air Service,commercial,"mechanical, pilot_error",6.0,6.0,1.0
10/02/1974,19:30,"Off Saint Thomas, U.S. Virgin Islands",Caribbean,North Cay Airways,commercial,cfit,2.0,2.0,1.0
10/09/1974,,"Medfra, Alaska",Northern America,Evergreen Helicopter - Air Taxi,civilian,pilot_error,3.0,3.0,1.0
10/10/1974,,"Cairo, Egypt",Northern Africa,EgyptAir,commercial,pilot_error,6.0,6.0,1.0
10/13/1974,,Formosa Strait,Eastern Asia,Military - U.S. Air Force,military,undetermined,6.0,6.0,1.0
10/17/1974,08:50,"Kassan, Alaska",Northern America,Webber Airlines -Air Taxi,civilian,"weather, collision, cfit",8.0,5.0,0.625
10/19/1974,01:15,"Calapan, Philippines",South-eastern Asia,Mabuhay Airways,commercial,mechanical,8.0,1.0,0.125
10/22/1974,18:25,"Fort Apache, Arizona",Northern America,Deming Flying Service - Air Taxi,civilian,weather,2.0,2.0,1.0
10/24/1974,19:30,"Blair, Oklahoma",Northern America,AltusFlying Service - Air Taxi,civilian,"mechanical, weather, collision, pilot_error",4.0,2.0,0.5
10/24/1974,06:35,"Chicao, Illinois",Northern America,Henry Nichols - Air Taxi,civilian,weather,3.0,2.0,0.6666666666666666
11/09/1975,,"Willow, Alaska",Northern America,Willow Air Service - Air Taxi,civilian,"mechanical, pilot_error",3.0,3.0,1.0
10/27/1974,23:36,"Old Man's Camp, Alaska",Northern America,Alaska International Air,commercial,"mechanical, pilot_error",4.0,4.0,1.0
10/28/1974,16:45,"Pagosa Springs, Colorado",Northern America,Hlavka Aviation - Air Taxi,civilian,"mechanical, weather",2.0,2.0,1.0
10/30/1974,02:30,"Rae Point, Northwest Territories, Canada",Northern America,Pan ArctiOil,commercial,cfit,34.0,32.0,0.9411764705882353
11/07/1974,,"Off Sonderborg, Denmark",Northern Europe,,unknown,cfit,3.0,3.0,1.0
11/15/1974,13:00,"Hoonah, Alaska",Northern America,Southeast Sky - Air Taxi,civilian,weather,4.0,4.0,1.0
11/15/1974,,"Manila, Philippines",South-eastern Asia,Orient Air System and Integrated Services,commercial,mechanical,8.0,1.0,0.125
11/20/1974,,"Soddu, Ethiopia",Eastern Africa,Ethiopian Airlines,commercial,unknown,24.0,2.0,0.08333333333333333
11/20/1974,07:50,"Near Nairobi, Kenya",Eastern Africa,Lufthansa,commercial,"mechanical, pilot_error",157.0,59.0,0.37579617834394907
